index,word
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,_
10,a
11,actualmente
12,acuerdo
13,adelante
14,ademas
15,además
16,adrede
17,afirmó
18,agregó
19,ahi
20,ahora
21,ahí
22,al
23,algo
24,alguna
25,algunas
26,alguno
27,algunos
28,algún
29,alli
30,allí
31,alrededor
32,ambos
33,ampleamos
34,antano
35,antaño
36,ante
37,anterior
38,antes
39,apenas
40,aproximadamente
41,aquel
42,aquella
43,aquellas
44,aquello
45,aquellos
46,aqui
47,aquél
48,aquélla
49,aquéllas
50,aquéllos
51,aquí
52,arriba
53,arribaabajo
54,aseguró
55,asi
56,así
57,atras
58,aun
59,aunque
60,ayer
61,añadió
62,aún
63,b
64,bajo
65,bastante
66,bien
67,breve
68,buen
69,buena
70,buenas
71,bueno
72,buenos
73,c
74,cada
75,casi
76,cerca
77,cierta
78,ciertas
79,cierto
80,ciertos
81,cinco
82,claro
83,comentó
84,como
85,con
86,conmigo
87,conocer
88,conseguimos
89,conseguir
90,considera
91,consideró
92,consigo
93,consigue
94,consiguen
95,consigues
96,contigo
97,contra
98,cosas
99,creo
100,cual
101,cuales
102,cualquier
103,cuando
104,cuanta
105,cuantas
106,cuanto
107,cuantos
108,cuatro
109,cuenta
110,cuál
111,cuáles
112,cuándo
113,cuánta
114,cuántas
115,cuánto
116,cuántos
117,cómo
118,d
119,da
120,dado
121,dan
122,dar
123,de
124,debajo
125,debe
126,deben
127,debido
128,decir
129,dejó
130,del
131,delante
132,demasiado
133,demás
134,dentro
135,deprisa
136,desde
137,despacio
138,despues
139,después
140,detras
141,detrás
142,dia
143,dias
144,dice
145,dicen
146,dicho
147,dieron
148,diferente
149,diferentes
150,dijeron
151,dijo
152,dio
153,donde
154,dos
155,durante
156,día
157,días
158,dónde
159,e
160,ejemplo
161,el
162,ella
163,ellas
164,ello
165,ellos
166,embargo
167,empleais
168,emplean
169,emplear
170,empleas
171,empleo
172,en
173,encima
174,encuentra
175,enfrente
176,enseguida
177,entonces
178,entre
179,era
180,erais
181,eramos
182,eran
183,eras
184,eres
185,es
186,esa
187,esas
188,ese
189,eso
190,esos
191,esta
192,estaba
193,estabais
194,estaban
195,estabas
196,estad
197,estada
198,estadas
199,estado
200,estados
201,estais
202,estamos
203,estan
204,estando
205,estar
206,estaremos
207,estará
208,estarán
209,estarás
210,estaré
211,estaréis
212,estaría
213,estaríais
214,estaríamos
215,estarían
216,estarías
217,estas
218,este
219,estemos
220,esto
221,estos
222,estoy
223,estuve
224,estuviera
225,estuvierais
226,estuvieran
227,estuvieras
228,estuvieron
229,estuviese
230,estuvieseis
231,estuviesen
232,estuvieses
233,estuvimos
234,estuviste
235,estuvisteis
236,estuviéramos
237,estuviésemos
238,estuvo
239,está
240,estábamos
241,estáis
242,están
243,estás
244,esté
245,estéis
246,estén
247,estés
248,ex
249,excepto
250,existe
251,existen
252,explicó
253,expresó
254,f
255,fin
256,final
257,fue
258,fuera
259,fuerais
260,fueran
261,fueras
262,fueron
263,fuese
264,fueseis
265,fuesen
266,fueses
267,fui
268,fuimos
269,fuiste
270,fuisteis
271,fuéramos
272,fuésemos
273,g
274,general
275,gran
276,grandes
277,gueno
278,h
279,ha
280,haber
281,habia
282,habida
283,habidas
284,habido
285,habidos
286,habiendo
287,habla
288,hablan
289,habremos
290,habrá
291,habrán
292,habrás
293,habré
294,habréis
295,habría
296,habríais
297,habríamos
298,habrían
299,habrías
300,habéis
301,había
302,habíais
303,habíamos
304,habían
305,habías
306,hace
307,haceis
308,hacemos
309,hacen
310,hacer
311,hacerlo
312,haces
313,hacia
314,haciendo
315,hago
316,han
317,has
318,hasta
319,hay
320,haya
321,hayamos
322,hayan
323,hayas
324,hayáis
325,he
326,hecho
327,hemos
328,hicieron
329,hizo
330,horas
331,hoy
332,hube
333,hubiera
334,hubierais
335,hubieran
336,hubieras
337,hubieron
338,hubiese
339,hubieseis
340,hubiesen
341,hubieses
342,hubimos
343,hubiste
344,hubisteis
345,hubiéramos
346,hubiésemos
347,hubo
348,i
349,igual
350,incluso
351,indicó
352,informo
353,informó
354,intenta
355,intentais
356,intentamos
357,intentan
358,intentar
359,intentas
360,intento
361,ir
362,j
363,junto
364,k
365,l
366,la
367,lado
368,largo
369,las
370,le
371,lejos
372,les
373,llegó
374,lleva
375,llevar
376,lo
377,los
378,luego
379,lugar
380,m
381,mal
382,manera
383,manifestó
384,mas
385,mayor
386,me
387,mediante
388,medio
389,mejor
390,mencionó
391,menos
392,menudo
393,mi
394,mia
395,mias
396,mientras
397,mio
398,mios
399,mis
400,misma
401,mismas
402,mismo
403,mismos
404,modo
405,momento
406,mucha
407,muchas
408,mucho
409,muchos
410,muy
411,más
412,mí
413,mía
414,mías
415,mío
416,míos
417,n
418,nada
419,nadie
420,ni
421,ninguna
422,ningunas
423,ninguno
424,ningunos
425,ningún
426,no
427,nos
428,nosotras
429,nosotros
430,nuestra
431,nuestras
432,nuestro
433,nuestros
434,nueva
435,nuevas
436,nuevo
437,nuevos
438,nunca
439,o
440,ocho
441,os
442,otra
443,otras
444,otro
445,otros
446,p
447,pais
448,para
449,parece
450,parte
451,partir
452,pasada
453,pasado
454,paìs
455,peor
456,pero
457,pesar
458,poca
459,pocas
460,poco
461,pocos
462,podeis
463,podemos
464,poder
465,podria
466,podriais
467,podriamos
468,podrian
469,podrias
470,podrá
471,podrán
472,podría
473,podrían
474,poner
475,por
476,por qué
477,porque
478,posible
479,primer
480,primera
481,primero
482,primeros
483,principalmente
484,pronto
485,propia
486,propias
487,propio
488,propios
489,proximo
490,próximo
491,próximos
492,pudo
493,pueda
494,puede
495,pueden
496,puedo
497,pues
498,q
499,qeu
500,que
501,quedó
502,queremos
503,quien
504,quienes
505,quiere
506,quiza
507,quizas
508,quizá
509,quizás
510,quién
511,quiénes
512,qué
513,r
514,raras
515,realizado
516,realizar
517,realizó
518,repente
519,respecto
520,s
521,sabe
522,sabeis
523,sabemos
524,saben
525,saber
526,sabes
527,sal
528,salvo
529,se
530,sea
531,seamos
532,sean
533,seas
534,segun
535,segunda
536,segundo
537,según
538,seis
539,ser
540,sera
541,seremos
542,será
543,serán
544,serás
545,seré
546,seréis
547,sería
548,seríais
549,seríamos
550,serían
551,serías
552,seáis
553,señaló
554,si
555,sido
556,siempre
557,siendo
558,siete
559,sigue
560,siguiente
561,sin
562,sino
563,sobre
564,sois
565,sola
566,solamente
567,solas
568,solo
569,solos
570,somos
571,son
572,soy
573,soyos
574,su
575,supuesto
576,sus
577,suya
578,suyas
579,suyo
580,suyos
581,sé
582,sí
583,sólo
584,t
585,tal
586,tambien
587,también
588,tampoco
589,tan
590,tanto
591,tarde
592,te
593,temprano
594,tendremos
595,tendrá
596,tendrán
597,tendrás
598,tendré
599,tendréis
600,tendría
601,tendríais
602,tendríamos
603,tendrían
604,tendrías
605,tened
606,teneis
607,tenemos
608,tener
609,tenga
610,tengamos
611,tengan
612,tengas
613,tengo
614,tengáis
615,tenida
616,tenidas
617,tenido
618,tenidos
619,teniendo
620,tenéis
621,tenía
622,teníais
623,teníamos
624,tenían
625,tenías
626,tercera
627,ti
628,tiempo
629,tiene
630,tienen
631,tienes
632,toda
633,todas
634,todavia
635,todavía
636,todo
637,todos
638,total
639,trabaja
640,trabajais
641,trabajamos
642,trabajan
643,trabajar
644,trabajas
645,trabajo
646,tras
647,trata
648,través
649,tres
650,tu
651,tus
652,tuve
653,tuviera
654,tuvierais
655,tuvieran
656,tuvieras
657,tuvieron
658,tuviese
659,tuvieseis
660,tuviesen
661,tuvieses
662,tuvimos
663,tuviste
664,tuvisteis
665,tuviéramos
666,tuviésemos
667,tuvo
668,tuya
669,tuyas
670,tuyo
671,tuyos
672,tú
673,u
674,ultimo
675,un
676,una
677,unas
678,uno
679,unos
680,usa
681,usais
682,usamos
683,usan
684,usar
685,usas
686,uso
687,usted
688,ustedes
689,v
690,va
691,vais
692,valor
693,vamos
694,van
695,varias
696,varios
697,vaya
698,veces
699,ver
700,verdad
701,verdadera
702,verdadero
703,vez
704,vosotras
705,vosotros
706,voy
707,vuestra
708,vuestras
709,vuestro
710,vuestros
711,w
712,x
713,y
714,ya
715,yo
716,z
717,él
718,éramos
719,ésa
720,ésas
721,ése
722,ésos
723,ésta
724,éstas
725,éste
726,éstos
727,última
728,últimas
729,último
730,últimos
